0|1|641.7271520532522
1|2|600.7596161844156
2|3|565.4245881562944
3|4|542.1294839137573
4|5|559.8548228831582
5|6|583.3011977740881
6|7|566.9917471225192
7|8|582.3542067039374
8|9|594.9306850468216
9|10|561.4061472843973
10|11|592.6856297423546
11|12|616.3817798913104
12|13|574.0346661901598
13|14|598.320164858497
14|15|585.3148068772068
15|16|592.1115255966738
16|17|585.0057445311212
17|18|618.4429466926271
18|19|606.1397936397772
19|20|623.0989875798805
20|21|631.7277542213704
21|22|624.736120490039
22|23|619.2491619858454
23|24|613.7634114545212
24|25|608.3597022055235
25|26|644.5580930105874
