Document 1:0.0017917651031560216,0.9945904256217521,0.0018148913571302517,0.00180291791796161
Document 2:0.0035675452089860885,0.003730173814774209,0.9890080510276537,0.003694229948586157
Document 3:0.0026780030756916383,0.9918598785318655,0.0027910298791504282,0.002671088513292383
Document 4:0.0010655685271122185,0.0011084014000985714,0.001107999595102142,0.996718030477687
Document 5:0.9923456974089548,0.002547999057307975,0.002571243406119525,0.002535060127617629
Document 6:0.00038766851535652425,0.000395856322436364,0.0003982278666181839,0.9988182472955889
Document 7:0.9911378646680722,0.002992695671947497,0.0029469900204869164,0.002922449639493396
Document 8:0.0019349452028620453,0.9940660597580342,0.0020148871980853475,0.001984107841018596
Document 9:0.0011514470807225076,0.9964689758404645,0.0011651104905000347,0.0012144665883130762
Document 10:0.001055510436149322,0.0010677212725584732,0.9968119790633923,0.0010647892279
Document 11:0.9885655937265404,0.003893270029719635,0.0037997672570991774,0.0037413689866408538
Document 12:0.0009052033922757213,0.0009225702671793504,0.0009311366033714498,0.9972410897371735
Document 13:0.9974049607369955,0.000868514776748421,0.0008613906319298285,0.0008651338543262868
Document 14:0.9916658859690326,0.0028280925687372777,0.0027657945596894864,0.0027402269025406144
Document 15:0.0020959859443176244,0.002142691536630752,0.0021016856225047065,0.9936596368965469
Document 16:0.0010712302461399895,0.6863158096443192,0.3115229032349927,0.0010900568745481262
Document 17:0.0013559737888481891,0.0013842150729672308,0.00139613870518159,0.9958636724330029
Document 18:0.9855233689776292,0.004935586714184397,0.00480690811396258,0.0047341361942239025
Document 19:0.0018958655659107432,0.9942917373334754,0.0019110982793048383,0.0019012988213090213
Document 20:0.9972163538771592,0.0009347755085718674,0.0009280656146946699,0.0009208049995742764
Document 21:0.0011866438479129708,0.001217180559291955,0.9963169272770243,0.0012792483157708508
Document 22:0.0022447050612445212,0.002301686445281763,0.9931871101056906,0.0022664983877831646
Document 23:0.00043724786350439194,0.00044654953682447167,0.9986687800336566,0.00044742256601450463
Document 24:0.0022018714530848108,0.0022401788304243623,0.002240827624506475,0.9933171220919843
Document 25:0.0013090497105159322,0.9959964741274925,0.0013240225004305347,0.0013704536615608773
Document 26:0.001587816422539344,0.9951814079960392,0.0016095438957114097,0.001621231685710037
Document 27:0.47631726747410913,0.0029627192836102424,0.517850816304918,0.002869196937362674
